"name","description","samples","conditions","title"
"PEG8K","Change the PEG8K concentration","A1",2.5,"PEG8K concentration [%]"
"PEG8K","Change the PEG8K concentration","B1",5,"PEG8K concentration [%]"
"PEG8K","Change the PEG8K concentration","C1",10,"PEG8K concentration [%]"
"PEG8K","Change the PEG8K concentration","D1",20,"PEG8K concentration [%]"
,,,,
"PEG3350","Change the PEG3350 concentration","E1",2.5,"PEG3350 concentration [%]"
"PEG3350","Change the PEG3350 concentration","F1",5,"PEG3350 concentration [%]"
"PEG3350","Change the PEG3350 concentration","G1",10,"PEG3350 concentration [%]"
"PEG3350","Change the PEG3350 concentration","H1",20,"PEG3350 concentration [%]"
,,,,
"PEG1K","Change the PEG1K concentration","A2",2.5,"PEG1K concentration [%]"
"PEG1K","Change the PEG1K concentration","B2",5,"PEG1K concentration [%]"
"PEG1K","Change the PEG1K concentration","C2",10,"PEG1K concentration [%]"
"PEG1K","Change the PEG1K concentration","D2",20,"PEG1K concentration [%]"
,,,,
"spermine","Change the Spermine concentration","E2",0.01,"Spermine quantity [mM]"
"spermine","Change the Spermine concentration","F2",0.1,"Spermine quantity [mM]"
"spermine","Change the Spermine concentration","G2",1,"Spermine quantity [mM]"
"spermine","Change the Spermine concentration","H2",10,"Spermine quantity [mM]"
"spermine","Change the Spermine concentration","A3",100,"Spermine quantity [mM]"
,,,,
"spermidine","Change the Spermidine concentration","B3",0.01,"Spermidine quantity [mM]"
"spermidine","Change the Spermidine concentration","D3",1,"Spermidine quantity [mM]"
"spermidine","Change the Spermidine concentration","E3",10,"Spermidine quantity [mM]"
"spermidine","Change the Spermidine concentration","F3",100,"Spermidine quantity [mM]"
,,,,
"RNA titration","No info about this study! Check unit","G3",50,"RNA quantity [mM]"
"RNA titration","No info about this study! Check unit","H3",100,"RNA quantity [mM]"
"RNA titration","No info about this study! Check unit","A4",200,"RNA quantity [mM]"
"RNA titration","No info about this study! Check unit","B4",400,"RNA quantity [mM]"
"RNA titration","No info about this study! Check unit","C4",800,"RNA quantity [mM]"
,,,,
"3.1 DMS","Change the DMS concentration","F4",60,"DMS quantity [mM]"
"3.1 DMS","Change the DMS concentration","G4",180,"DMS quantity [mM]"
"3.1 DMS","Change the DMS concentration","H4",540,"DMS quantity [mM]"
,,,,
"3.2 DMS","Change the DMS concentration","A5",7,"DMS quantity [mM]"
"3.2 DMS","Change the DMS concentration","B5",20,"DMS quantity [mM]"
"3.2 DMS","Change the DMS concentration","C5",60,"DMS quantity [mM]"
"3.2 DMS","Change the DMS concentration","D5",180,"DMS quantity [mM]"
"3.2 DMS","Change the DMS concentration","E5",540,"DMS quantity [mM]"
,,,,
"salt","Change the Na concentration","A6",0.15,"Na quantity [M]"
"salt","Change the Na concentration","B6",0.3,"Na quantity [M]"
"salt","Change the Na concentration","C6",0.6,"Na quantity [M]"
"salt","Change the Na concentration","D6",1,"Na quantity [M]"
"salt","Change the Na concentration","E6",1.2,"Na quantity [M]"
,,,,
"magnesium","Change the Mg concentration","F6",0,"Magnesium quantity [mM]"
"magnesium","Change the Mg concentration","G6",0.01,"Magnesium quantity [mM]"
"magnesium","Change the Mg concentration","H6",0.1,"Magnesium quantity [mM]"
"magnesium","Change the Mg concentration","A7",1,"Magnesium quantity [mM]"
"magnesium","Change the Mg concentration","B7",10,"Magnesium quantity [mM]"
"magnesium","Change the Mg concentration","C7",100,"Magnesium quantity [mM]"
,,,,
"temperature","Try different temperatures","D7",5,"Temperature [°C]"
"temperature","Try different temperatures","E7",10,"Temperature [°C]"
"temperature","Try different temperatures","F7",25,"Temperature [°C]"
"temperature","Try different temperatures","G7",45,"Temperature [°C]"
"temperature","Try different temperatures","H7",55,"Temperature [°C]"
"temperature","Try different temperatures","A8",65,"Temperature [°C]"
"temperature","Try different temperatures","B8",75,"Temperature [°C]"
,,,,
"60 mM DMS","Change DMS reaction time","D8",1,"DMS reaction time [min]"
"60 mM DMS","Change DMS reaction time","E8",3,"DMS reaction time [min]"
"60 mM DMS","Change DMS reaction time","F8",9,"DMS reaction time [min]"
"60 mM DMS","Change DMS reaction time","G8",27,"DMS reaction time [min]"
"60 mM DMS","Change DMS reaction time","H8",81,"DMS reaction time [min]"
"60 mM DMS","Change DMS reaction time","A9",720,"DMS reaction time [min]"
,,,,
