construct,C5_align_v2_0mut,C5_align_v2_1mut
185,63,68
381,30,34
597,222,235
1055,46,52
1092,38,49
1120,56,60
1495,27,28
1895,109,125
1994,6,7
2069,5,7
2093,42,60
2506,156,181
2780,34,45
2797,41,41
3014,48,65
3163,30,35
3273,8,11
3580,22,43
3925,113,121
3948,27,32
4672,266,504
4758,5,7
5269,20,43
5440,223,233
5988,163,189
6711,128,149
7026,59,694
7545,3,3
7845,197,267
8106,508,621
8351,50,51
8427,495,525
8430,260,591
8438,886,933
8574,77,78
8594,392,678
8695,553,593
9176,188,191
9211,49,49
9302,4,9
9572,190,336
9796,8,37
9832,117,131
9843,38,46
9849,15,20
10044,15,17
10162,18,36
10759,54,55
10803,4,17
10948,26,31
11024,5,5
11047,5,5
11197,893,895
11390,34,36
11499,143,147
11642,9,9
11825,63,64
12108,707,862
12306,48,63
12361,223,227
